restaurant,section,item,price,description,location
Capital Kitchen,TRADITIONAL FLAVOURS,DAL TADKA,₹950,"Split yellow lentils, tempered with ginger and chillies",
Capital Kitchen,TRADITIONAL FLAVOURS,GOSHT / SUBZ BIRYANI 1425 /,₹1275,"Traditional fragrant basmati rice, layers of spiced lamb / vegetables, cooked in a",
Capital Kitchen,TRADITIONAL FLAVOURS,"TANDOORI BREADS - ROTI, NAAN, PARATHA",₹425,Two of any,
Capital Kitchen,TRADITIONAL FLAVOURS,STEAMED BASMATI RICE,₹425,Mains,
Capital Kitchen,BEERS,2500/1,₹2500,Non Vintage,
Capital Kitchen,BEERS,2000/,₹4000,Chardonnay,
Capital Kitchen,BEERS,1750/,₹8750,Chardonnay,
Capital Kitchen,BEERS,650/,₹3250,Sauvignon Blanc,
Capital Kitchen,BEERS,700/,₹3500,Pinot Grigio,
Capital Kitchen,BEERS,1200/,₹6000,Pinot Grigio,
Capital Kitchen,BEERS,850/,₹4250,Sangiovese,
Capital Kitchen,BEERS,1200/,₹6000,Sangiovese,
Capital Kitchen,BEERS,850/,₹4250,Cabernet Shiraz,
Capital Kitchen,BEERS,750/,₹3750,Cabernet Sangiovese,
Capital Kitchen,BEERS,1300/,₹6500,Pinot Noir,
Capital Kitchen,BEERS,1450/,₹7250,Merlot,
Capital Kitchen,BEERS,850/,₹4250,Portugal,
Capital Kitchen,BEERS,950/,₹4750,India,
Capital Kitchen,BEERS,700/,₹3500,Wheat,
Rick's Bar,Menu Items,Glenfarclas,₹1954,None,
Rick's Bar,Menu Items,Ladyburn,₹1973,None,
,,Curried vegetable turnover,350,"Puff pastry, mix vegetable masala",
,,Chilli Paneer Croissant,350,"Flaky pastry, chili paneer preparation",
,,Corn - spinach quiche,350,"Short crust pastry, corn & spinach preparation",
,,Chicken Tikka Puff,400,"Puff pastry, chicken tikka masala",
,,Keema Mattar Croissant,400,"Flaky pastry, lamb keema masala",
,,Chicken Mushroom quiche,400,"Short crust pastry, chicken & mushroom preparation",
,,Red velvet cake half kg,1050,"Soft red velvet sponge, cream cheese frosting",
,,Chocolate truffle cake half kg,950,"Soft chocolate sponge, dark chocolate truffle",
,,Mix fruit cake half kg,850,"Soft vanilla sponge, cream patisserie, assorted fruits",
,,Pineapple cake half kg,850,"Soft vanilla sponge, cream patisserie, pineapple",
,,Carrot cake half kg,1050,"Grated carrot, egg, refined flour, vegetable oil, cream cheese frosting, walnut",
,,New York cheese cake half kg,1050,"Cream cheese, fresh cream, egg, butter, biscuit crumbs",
,,Sugar free/ liqueur/ truffles 4 / 6  / 9 / 12 pc 275 /375 / 475 /,575,N/A,
,,Key lime pie,275,"White couverture, lime truffle",
,,Banana blossom,275,"Milk couverture, banana chocolate truffle",
,,Dulce de leche,275,"Milk couverture, caramel filling",
,,Coffee truffle,275,"Dark couverture, coffee truffle",
,,Strawberry ginger truffle,275,"Milk couverture, strawberry ginger truffle",
,,Lemon,275,"Almond meal, powder sugar, white couverture, lemon juice",
,,Chocolate ganache,275,"Almond meal, powder sugar, cocoa powder, vegetable oil",
,,Pistachio,275,"Almond meal, powder sugar, white couverture, pistachio paste, butter",
,,Raspberry,275,"Almond meal, powder sugar, white couverture, raspberry puree, butter",
,,Coffee,275,"Almond meal, powder sugar, dark couverture, roasted coffee beans, butter",
,,Vanilla,275,"Almond meal, powder sugar, white couverture, butter",
,,Red velvet Pastry,295,"Soft red velvet sponge, cream cheese frosting",
,,CARAMEL TIRAMISU SLICE,516,"Soft vanilla sponge, italian mascarpone cream, caramel sauce",
,,Fresh Fruit Pastry,347,"Soft vanilla sponge, cream patisserie, assorted fruits",
,,Black Forest,100,"Soft chocolate sponge, dark chocolate cream, vanilla cream, dark cherry filling",
,,CHOCOLATE HAZELNUT SLICE,639,"Soft chocolate sponge, dark chocolate truffle, hazelnut crunch",
,,BAKED BERRY CHEESECAKE,519,"Cream cheese, fresh cream, egg , berry confit, biscuit crumbs",
,,Butter Croissant,195,"Refined flour, butter, milk",
,,Pain au Chocolate,521,"Refined flour, butter, milk, dark couverture",
,,Chocolate Croissant,511,"Refined flour, butter, milk, dark couverture",
,,Chocolate Doughnut,615,"Dark couverture, butter, milk, flour, egg, cream",
,,Blueberry crumble,195,"Egg, cream, refined flour, almond meal, yogurt, butter",
,,Cranberry Orange,195,"Egg, cream, refined flour, almond meal, yogurt, butter, dried cranberry",
,,Chocolate Coffee Toffee,195,"Egg, cream, refined flour, almond meal, yogurt, butter, coffee",
,,Potato cracker,N/A,with tamarind ghee glaze,Kolkata (ITC Royal Bengal)
,,Coriander chicken,N/A,with mini appam,Kolkata (ITC Royal Bengal)
,,Spiced bolteus,N/A,with aerated rice bun,Kolkata (ITC Royal Bengal)
,,Tomato and millet,N/A,with rice crisp,Kolkata (ITC Royal Bengal)
,,Spiced aubergine,N/A,with byadgi chili emulsion and sago,Kolkata (ITC Royal Bengal)
,,Sago and yoghurt,N/A,with tamarind & dried berry sauce,Kolkata (ITC Royal Bengal)
,,Pan seared quail,N/A,with areated rice cake,Kolkata (ITC Royal Bengal)
,,Crispy chili potato,N/A,with pineapple and mint,Kolkata (ITC Royal Bengal)
,,Raw mango pudding,N/A,with ghee candle,Kolkata (ITC Royal Bengal)
,,Stir fried chicken,N/A,with buttermilk mousse curry leaf tempura,Kolkata (ITC Royal Bengal)
,,Crab claws batter fried,N/A,with red chili chutney,Kolkata (ITC Royal Bengal)
,,Seafood fritter rice,N/A,with sesame and palm nectar,Kolkata (ITC Royal Bengal)
,,Degustation Menu: Maya,N/A,7 course tasting menu experience,Kolkata (ITC Royal Bengal)
,,Degustation Menu: Bela,N/A,9 course tasting menu experience,Kolkata (ITC Royal Bengal)
,,Degustation Menu: Jiaa,N/A,11 course tasting menu experience,Kolkata (ITC Royal Bengal)
,,Degustation Menu: Anika,N/A,13 course tasting menu experience,Kolkata (ITC Royal Bengal)
,,Degustation Menu: Tara,N/A,14 course tasting menu experience,Kolkata (ITC Royal Bengal)
,,Potato cracker,N/A,with tamarind ghee glaze,New Delhi (ITC Maurya)
,,Coriander chicken,N/A,with mini appam,New Delhi (ITC Maurya)
,,Spiced bolteus,N/A,with aerated rice bun,New Delhi (ITC Maurya)
,,Tomato and millet,N/A,with rice crisp,New Delhi (ITC Maurya)
,,Spiced aubergine,N/A,with byadgi chili emulsion and sago,New Delhi (ITC Maurya)
,,Sago and yoghurt,N/A,with tamarind & dried berry sauce,New Delhi (ITC Maurya)
,,Pan seared quail,N/A,with areated rice cake,New Delhi (ITC Maurya)
,,Crispy chili potato,N/A,with pineapple and mint,New Delhi (ITC Maurya)
,,Raw mango pudding,N/A,with ghee candle,New Delhi (ITC Maurya)
,,Stir fried chicken,N/A,with buttermilk mousse curry leaf tempura,New Delhi (ITC Maurya)
,,Crab claws batter fried,N/A,with red chili chutney,New Delhi (ITC Maurya)
,,Seafood fritter rice,N/A,with sesame and palm nectar,New Delhi (ITC Maurya)
,,Degustation Menu: Maya,₹3000+,7 course tasting menu experience,New Delhi (ITC Maurya)
,,Degustation Menu: Bela,₹3000+,9 course tasting menu experience,New Delhi (ITC Maurya)
,,Degustation Menu: Jiaa,₹3000+,11 course tasting menu experience,New Delhi (ITC Maurya)
,,Degustation Menu: Anika,₹3000+,13 course tasting menu experience,New Delhi (ITC Maurya)
,,Degustation Menu: Tara,₹3000+,14 course tasting menu experience,New Delhi (ITC Maurya)
,,Potato cracker,N/A,with tamarind ghee glaze,Mumbai (ITC Maratha)
,,Coriander chicken,N/A,with mini appam,Mumbai (ITC Maratha)
,,Spiced bolteus,N/A,with aerated rice bun,Mumbai (ITC Maratha)
,,Tomato and millet,N/A,with rice crisp,Mumbai (ITC Maratha)
,,Spiced aubergine,N/A,with byadgi chili emulsion and sago,Mumbai (ITC Maratha)
,,Sago and yoghurt,N/A,with tamarind & dried berry sauce,Mumbai (ITC Maratha)
,,Pan seared quail,N/A,with areated rice cake,Mumbai (ITC Maratha)
,,Crispy chili potato,N/A,with pineapple and mint,Mumbai (ITC Maratha)
,,Raw mango pudding,N/A,with ghee candle,Mumbai (ITC Maratha)
,,Stir fried chicken,N/A,with buttermilk mousse curry leaf tempura,Mumbai (ITC Maratha)
,,Crab claws batter fried,N/A,with red chili chutney,Mumbai (ITC Maratha)
,,Seafood fritter rice,N/A,with sesame and palm nectar,Mumbai (ITC Maratha)
,,Degustation Menu: Maya,N/A,7 course tasting menu experience,Mumbai (ITC Maratha)
,,Degustation Menu: Bela,N/A,9 course tasting menu experience,Mumbai (ITC Maratha)
,,Degustation Menu: Jiaa,N/A,11 course tasting menu experience,Mumbai (ITC Maratha)
,,Degustation Menu: Anika,N/A,13 course tasting menu experience,Mumbai (ITC Maratha)
,,Degustation Menu: Tara,N/A,14 course tasting menu experience,Mumbai (ITC Maratha)
