restaurant,item,price,description
Emperor Lounge,Chocolate Coffee Toffee,195,"Egg, cream, refined flour, almond meal, yogurt, butter, coffee"
Kolkata (ITC Royal Bengal),Potato cracker,,with tamarind ghee glaze
Kolkata (ITC Royal Bengal),Coriander chicken,,with mini appam
Kolkata (ITC Royal Bengal),Spiced bolteus,,with aerated rice bun
Kolkata (ITC Royal Bengal),Tomato and millet,,with rice crisp
Kolkata (ITC Royal Bengal),Spiced aubergine,,with byadgi chili emulsion and sago
Kolkata (ITC Royal Bengal),Sago and yoghurt,,with tamarind & dried berry sauce
Kolkata (ITC Royal Bengal),Pan seared quail,,with areated rice cake
Kolkata (ITC Royal Bengal),Crispy chili potato,,with pineapple and mint
Kolkata (ITC Royal Bengal),Raw mango pudding,,with ghee candle
Kolkata (ITC Royal Bengal),Stir fried chicken,,with buttermilk mousse curry leaf tempura
Kolkata (ITC Royal Bengal),Crab claws batter fried,,with red chili chutney
Kolkata (ITC Royal Bengal),Seafood fritter rice,,with sesame and palm nectar
Kolkata (ITC Royal Bengal),Degustation Menu: Maya,,7 course tasting menu experience
Kolkata (ITC Royal Bengal),Degustation Menu: Bela,,9 course tasting menu experience
Kolkata (ITC Royal Bengal),Degustation Menu: Jiaa,,11 course tasting menu experience
Kolkata (ITC Royal Bengal),Degustation Menu: Anika,,13 course tasting menu experience
Kolkata (ITC Royal Bengal),Degustation Menu: Tara,,14 course tasting menu experience
New Delhi (ITC Maurya),Potato cracker,,with tamarind ghee glaze
New Delhi (ITC Maurya),Coriander chicken,,with mini appam
New Delhi (ITC Maurya),Spiced bolteus,,with aerated rice bun
New Delhi (ITC Maurya),Tomato and millet,,with rice crisp
New Delhi (ITC Maurya),Spiced aubergine,,with byadgi chili emulsion and sago
New Delhi (ITC Maurya),Sago and yoghurt,,with tamarind & dried berry sauce
New Delhi (ITC Maurya),Pan seared quail,,with areated rice cake
New Delhi (ITC Maurya),Crispy chili potato,,with pineapple and mint
New Delhi (ITC Maurya),Raw mango pudding,,with ghee candle
New Delhi (ITC Maurya),Stir fried chicken,,with buttermilk mousse curry leaf tempura
New Delhi (ITC Maurya),Crab claws batter fried,,with red chili chutney
New Delhi (ITC Maurya),Seafood fritter rice,,with sesame and palm nectar
New Delhi (ITC Maurya),Degustation Menu: Maya,₹3000+,7 course tasting menu experience
New Delhi (ITC Maurya),Degustation Menu: Bela,₹3000+,9 course tasting menu experience
New Delhi (ITC Maurya),Degustation Menu: Jiaa,₹3000+,11 course tasting menu experience
New Delhi (ITC Maurya),Degustation Menu: Anika,₹3000+,13 course tasting menu experience
New Delhi (ITC Maurya),Degustation Menu: Tara,₹3000+,14 course tasting menu experience
Mumbai (ITC Maratha),Potato cracker,,with tamarind ghee glaze
Mumbai (ITC Maratha),Coriander chicken,,with mini appam
Mumbai (ITC Maratha),Spiced bolteus,,with aerated rice bun
Mumbai (ITC Maratha),Tomato and millet,,with rice crisp
Mumbai (ITC Maratha),Spiced aubergine,,with byadgi chili emulsion and sago
Mumbai (ITC Maratha),Sago and yoghurt,,with tamarind & dried berry sauce
Mumbai (ITC Maratha),Pan seared quail,,with areated rice cake
Mumbai (ITC Maratha),Crispy chili potato,,with pineapple and mint
Mumbai (ITC Maratha),Raw mango pudding,,with ghee candle
Mumbai (ITC Maratha),Stir fried chicken,,with buttermilk mousse curry leaf tempura
Mumbai (ITC Maratha),Crab claws batter fried,,with red chili chutney
Mumbai (ITC Maratha),Seafood fritter rice,,with sesame and palm nectar
Mumbai (ITC Maratha),Degustation Menu: Maya,,7 course tasting menu experience
Mumbai (ITC Maratha),Degustation Menu: Bela,,9 course tasting menu experience
Mumbai (ITC Maratha),Degustation Menu: Jiaa,,11 course tasting menu experience
Mumbai (ITC Maratha),Degustation Menu: Anika,,13 course tasting menu experience
Mumbai (ITC Maratha),Degustation Menu: Tara,,14 course tasting menu experience
